Neighborhood;Income
Aires Puros;28288
Las Canteras;35000
Las Canteras;47180
Las Canteras;0
Buceo;59000
Buceo;48000
Buceo;10000
Buceo;0
Capurro y Bella Vista;27676
Capurro y Bella Vista;25388
Capurro y Bella Vista;0
Punta Gorda;130547 y3333
Lezica y Melilla;17000
Barrio Sur;28262
Barrio Sur;0
Barrio Sur;29262
Penarol y Lavalleja;20000
Penarol y Lavalleja;15200
Penarol y Lavalleja;0
Penarol y Lavalleja;0
Penarol y Lavalleja;0
Centro;75000
Piedras Blancas;6000
Piedras Blancas;47197
Piedras Blancas;0
Piedras Blancas;0
Malvin;16000
Tres Cruces;25217
Tres Cruces;25217
Maronas y Parque Guarani;12000
Maronas y Parque Guarani;11000
Maronas y Parque Guarani;20720
Colon Centro y Noroeste;35797
Colon Centro y Noroeste;0
Punta Carretas;97580 y66667
Punta Carretas;2220
Punta Carretas;0
Punta Carretas;0
Tres Cruces;32288
Malvin;52000
Malvin;30000
Paso de la Arena;40921
Paso de la Arena;12000
Union;80000
Paso de las Duranas;32000
Villa Espanola;51828
Villa Espanola;12300
Villa Espanola;0
Villa Espanola;0
Cordon;33189
Cordon;22189
Larranaga;29671
Larranaga;48455
Flor de Maronas;76518
Flor de Maronas;36646
Flor de Maronas;17118
Flor de Maronas;0
Cerro;23946
Cerro;0
La Teja;39688
La Teja;14440
La Teja;33000
Manga;15000
Manga;0
Pocitos;55000
Pocitos;103061 y3333
Pocitos;20288
Pocitos;0
Pque. Batlle y V. Dolores;39386
Pque. Batlle y V. Dolores;35693
Pque. Batlle y V. Dolores;0
Nuevo Paris;44567
Nuevo Paris;0
Nuevo Paris;0
Nuevo Paris;0
Sayago;7000
Sayago;3000
Centro;62000
Centro;41000
Parque Rodo;46454 y66667
Parque Rodo;52288
Parque Rodo;0
Parque Rodo;0
Castro y P. Castellanos;35000
Castro y P. Castellanos;34118
Castro y P. Castellanos;35118
Castro y P. Castellanos;0
Malvin Norte;22000
Nuevo Paris;50897
Nuevo Paris;25280
Nuevo Paris;22100
Nuevo Paris;0
Nuevo Paris;0
Parque Rodo;73500
Union;131828
Union;0
Villa Espanola;15100
Villa Espanola;0
Penarol y Lavalleja;0
Penarol y Lavalleja;47180
Penarol y Lavalleja;0
Carrasco;234762
Carrasco;0
Carrasco;62262
Carrasco;0
Carrasco;22262
Carrasco;0
La Teja;18500
La Teja;12000
Cordon;60000
Lezica y Melilla;12200
Lezica y Melilla;22000
Tres Ombues y Victoria;35000
Tres Ombues y Victoria;1600
Tres Ombues y Victoria;0
Pque. Batlle y V. Dolores;14000
Pque. Batlle y V. Dolores;21288
La Blanqueada;34288
La Blanqueada;0
Prado y Nueva Savona;67620
Nuevo Paris;45210
Nuevo Paris;26750
Nuevo Paris;0
Nuevo Paris;0
Nuevo Paris;795 y5
Nuevo Paris;795 y5
Nuevo Paris;795 y5
Nuevo Paris;0
Larranaga;80214
Penarol y Lavalleja;97659
Manga y Toledo Chico;45118
Manga y Toledo Chico;0
Ciudad Vieja;37288
Ciudad Vieja;38288
Ciudad Vieja;12000
Ciudad Vieja;0
Ciudad Vieja;0
Union;63720
Union;0
Lezica y Melilla;11000
Lezica y Melilla;20000
Lezica y Melilla;0
La Blanqueada;60662
La Blanqueada;32262
La Blanqueada;0
La Blanqueada;0
Pocitos;62214
La Comercial;23000
La Comercial;20000
Malvin;77453 y33333
Malvin;110000
Malvin;0
Villa Garcia y Manga Rur.;14000
Colon Centro y Noroeste;19500
Las Acacias;42000
Jardines del Hipodromo;72803 y33333
Jardines del Hipodromo;59260
Jardines del Hipodromo;0
Mercado Modelo y Bolivar;23189
La Teja;24197
La Teja;32197
Penarol y Lavalleja;38262
Penarol y Lavalleja;35000
Penarol y Lavalleja;0
Ciudad Vieja;47262
Ciudad Vieja;52262
Ciudad Vieja;0
Ciudad Vieja;0
Lezica y Melilla;3388
Lezica y Melilla;17288
Lezica y Melilla;9500
Lezica y Melilla;0
Pocitos;70000
Tres Ombues y Victoria;16271
Tres Ombues y Victoria;6400
Tres Ombues y Victoria;0
Tres Ombues y Victoria;2000
Tres Ombues y Victoria;0
Tres Ombues y Victoria;0
Tres Ombues y Victoria;0
Union;38862
Union;0
Pta. Rieles y Bella Italia;12866
Pta. Rieles y Bella Italia;6000
Pta. Rieles y Bella Italia;0
Pta. Rieles y Bella Italia;0
Pta. Rieles y Bella Italia;0
Tres Ombues y Victoria;20000
Barrio Sur;82788
Barrio Sur;51288
Barrio Sur;0
Larranaga;308540 y6667
Larranaga;140000
Larranaga;159303 y3333
Larranaga;64220
Buceo;69000
Malvin;139996
Malvin;140720
Malvin;0
Malvin;0
Conciliacion;22000
Conciliacion;28514
Conciliacion;0
Conciliacion;0
Villa Espanola;20100
Manga y Toledo Chico;2333 y333333
Manga y Toledo Chico;2118
Manga y Toledo Chico;0
Manga y Toledo Chico;0
La Teja;11000
La Teja;1200
Mercado Modelo y Bolivar;20000
Tres Ombues y Victoria;52693
Tres Ombues y Victoria;25193
Tres Ombues y Victoria;0
Tres Ombues y Victoria;0
Punta Gorda;37214
Punta Gorda;82214
Punta Gorda;0
Punta Gorda;0
Cerrito;62220
Cerrito;24720
Castro y P. Castellanos;56000
Castro y P. Castellanos;38288
Castro y P. Castellanos;22288
Prado y Nueva Savona;66947
Prado y Nueva Savona;30000
Aguada;12400
Aguada;38721
Parque Rodo;52083 y33333
Parque Rodo;32000
Parque Rodo;45145
Cordon;51180
Cordon;63318
Cordon;35118
Cordon;0
Villa Espanola;38000
Villa Espanola;12000
Pocitos;84571
Pocitos;51065
Villa Garcia y Manga Rur.;11032
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;24288
Villa Garcia y Manga Rur.;0
Villa Munoz y Retiro;23288
La Figurita;23960
La Figurita;58220
Belvedere;27414
Belvedere;0
Belvedere;0
Villa Espanola;51271
Villa Espanola;49271
Villa Espanola;0
Palermo;40288
Belvedere;33000
Union;11000
Union;14000
La Teja;3500
La Teja;6400
La Teja;32288
Carrasco Norte;13500
Carrasco Norte;6800
Carrasco Norte;0
Carrasco Norte;0
Carrasco Norte;0
Carrasco Norte;20800
Carrasco Norte;9600
Jacinto Vera;73029
La Paloma y Tomkinson;8752
La Paloma y Tomkinson;1500
La Paloma y Tomkinson;0
La Paloma y Tomkinson;0
Las Acacias;20000
Las Acacias;14000
Aguada;0
Aguada;76125
Aguada;0
Aguada;0
Prado y Nueva Savona;131220
Prado y Nueva Savona;102220
Prado y Nueva Savona;0
Prado y Nueva Savona;0
Centro;27189
Centro;0
Centro;12189
Centro;2000
Union;42262
Union;47262
Cordon;44271
Cordon;43271
Cordon;15271
Casabo y Pajas Blancas;24271
Casabo y Pajas Blancas;40000
Punta Gorda;42193
Punta Gorda;82193
Punta Gorda;0
Punta Gorda;0
Punta Gorda;0
Punta Gorda;0
Villa Espanola;39000
Villa Espanola;0
Cordon;18000
Prado y Nueva Savona;32220
Prado y Nueva Savona;9000
Prado y Nueva Savona;0
Pque. Batlle y V. Dolores;24500
Cerro;32214
Cerro;33672 y33333
Cerro;22000
Cerro;4000
Cerro;19262
Pque. Batlle y V. Dolores;69271
Larranaga;41000
Larranaga;43288
Larranaga;0
Carrasco;452283 y1667
Carrasco;0
Carrasco;0
Cerrito;21500
La Comercial;47189
La Comercial;122189
La Comercial;0
La Comercial;0
Pocitos;15000
Manga;14000
Manga;6000
Lezica y Melilla;49902
Lezica y Melilla;0
Lezica y Melilla;13214
Penarol y Lavalleja;52271
Penarol y Lavalleja;30000
Penarol y Lavalleja;22271
La Blanqueada;41510
La Blanqueada;3362
La Blanqueada;0
Prado y Nueva Savona;104916 y6667
Prado y Nueva Savona;80416 y66667
Prado y Nueva Savona;110220
Centro;32614
Centro;29214
Palermo;80000
Jacinto Vera;62566
Jacinto Vera;42288
Jacinto Vera;40000
Jacinto Vera;0
Pocitos;37109
Pocitos;44214
Castro y P. Castellanos;32000
Villa Garcia y Manga Rur.;16000
Villa Garcia y Manga Rur.;3100
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;0
Villa Garcia y Manga Rur.;0
Casabo y Pajas Blancas;15000
